row_id,sample,outcome.x,q60_1,q60_2,q60_3,q60_4,q60_5,q60_6,q60_7,q25_new,ideo5,dem_rep_oth,age,female,race_new,faminc_new,educ,trust_in_govt,trust_in_science,covid_subj_know,relig_scale,faminc_new.NA,faminc_new_Imp,percdist,q60_1_rank,q60_2_rank,q60_3_rank,q60_4_rank,q60_5_rank,q60_6_rank,q60_7_rank,q25_new_rank,avg_perc_rank,covmh,ps,orig_id,id.x,bm,match_id,rankperc,grp,id.y,outcome.y,q22,q59_1,outcome,q60_1a,q60_2a,q60_3a,q60_4a,q60_5a,q60_6a,q60_7a,q60_ingroup,q60_outgroup,q60_1a_rank,q60_2a_rank,q60_3a_rank,q60_4a_rank,q60_5a_rank,q60_6a_rank,q60_7a_rank,outcome_rank,q22_rank,q59_1_rank,q59_1_rank_inv
84,2,1,6,6,6,6,6,4,6,2,1,1,31,1,1,5,5,2.3333333333333335,5,4,0.8302997126043519,0,5,2.695555641788318,984.5,1211,1255,1278.5,953.5,723.5,1208.5,843,1087.7857142857142,5.193577632781765,823.467340975966,1,84,56,84,1,1,84,1,15,2,1,5,5,5,5,5,3,5,5,3,0,0.5,1,1,0.5,0.5,1,0.5,0,0,1
586,2,1,7,6,5,5,6,4,5,2,2,1,24,1,1,4,5,3,5,3,0.22690570685643904,0,4,2.646793327440372,1356,1211,835,836,953.5,723.5,821,843,962.2857142857143,9.489032670973634,844.9001257192064,2,586,56,585,0,0,586,1,50,4,1,6,5,4,4,5,3,4,5,3,1,0.5,0,0,0.5,0.5,0,0.5,1,1,0
86,2,1,7,6,6,5,7,4,6,1,3,3,41,0,1,NA,5,2.6666666666666665,5,4,0.8302997126043519,1,6.0595419847328245,3.82571400208883,1356,1211,1255,836,1400,723.5,1208.5,302,1141.4285714285713,11.389457048634831,870.004330943701,3,86,57,86,1,1,86,1,1,3,1,6,5,5,4,6,3,5,NA,NA,0.5,0.5,1,1,1,0.5,1,0.5,0,0.5,0.5
327,1,1,7,6,5,4,6,4,5,2,2,3,39,0,1,NA,6,2,5,4,0.9199397837689887,1,6.0595419847328245,5.134015458162213,1356,1211,835,372,953.5,723.5,821,843,896,14.235653764403825,813.864485600169,2,327,57,327,0,0,327,1,2,3,1,6,5,4,3,5,3,4,NA,NA,0.5,0.5,0,0,0,0.5,0,0.5,1,0.5,0.5
87,2,0,5,6,5,5,4,4,4,2,3,3,56,1,1,1,2,3,4,4,0.7386068153825097,0,1,4.774097357027691,658.5,1211,835,836,239,723.5,432.5,843,705.0714285714286,6.584662058462761,825.8860391203453,3,87,58,87,0,1,87,0,5,4,0,4,5,4,4,3,3,3,NA,NA,0,0.5,0,0,0,0,0,0,0,1,0
686,1,1,6,6,6,6,6,6,6,1,4,3,56,1,1,2,3,2.6666666666666665,4,4,0.04091966607362801,0,2,2.1404335480483634,984.5,1211,1255,1278.5,953.5,1339,1208.5,302,1175.7142857142858,5.30041490163979,828.1191608375624,4,686,58,685,1,0,686,1,16,3,1,5,5,5,5,5,5,5,NA,NA,1,0.5,1,1,1,1,1,1,1,0,1
88,2,1,7,7,6,6,6,4,5,2,2,3,71,1,1,12,6,3,5,4,0.5400301081155056,0,12,4.3803199582559875,1356,1456.5,1255,1278.5,953.5,723.5,821,843,1120.5714285714287,6.431828263004354,1075.9930023277982,2,88,59,88,0,1,88,1,3,3,1,6,6,5,5,5,3,4,NA,NA,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,1,0
978,2,1,7,7,6,6,6,7,7,1,3,3,74,1,1,12,5,2,4,5,0.5606952237580402,0,12,6.162253817124939,1356,1456.5,1255,1278.5,953.5,1465,1450,302,1316.357142857143,6.943396707938504,896.4089392094605,3,978,59,977,1,0,978,1,4,1,1,6,6,5,5,5,6,6,NA,NA,0.5,0.5,0.5,0.5,0.5,1,1,0.5,1,0,1
89,2,0,4,6,4,4,7,2,1,1,3,1,61,1,2,5,3,3,3.5,2,0.3065553578760092,0,5,28.204232122627477,438.5,1211,411,372,1400,138,29.5,302,571.4285714285714,6.1355228170322444,753.7162991890772,3,89,60,89,1,1,89,0,6,3,0,3,5,3,3,6,1,0,6,1,0.5,1,0.5,0,1,0,0,0.5,0,0,1
1210,1,0,4,4,4,5,4,4,4,1,3,1,62,1,2,3,2,3,3.5,3,0.38702613931846164,0,3,2.8241328506583274,438.5,483.5,411,836,239,723.5,432.5,302,509.14285714285717,5.153016996821189,767.8062287571807,3,1210,60,1208,0,0,1210,0,50,4,0,3,3,3,4,3,3,3,3,3,0.5,0,0.5,1,0,1,1,0.5,1,1,0
90,2,1,7,5,5,5,6,3,5,2,2,3,63,0,1,9,5,3,5,4,0.22690570685643904,0,9,3.2884112626637405,1356,838,835,836,953.5,328,821,843,852.5,4.847583098096333,975.9277997512156,2,90,61,90,0,1,90,1,8,2,1,6,4,4,4,5,2,4,NA,NA,0.5,0,0.5,0.5,0.5,0,0,0.5,0,0,1
1451,1,1,7,6,5,5,6,4,6,1,1,3,65,0,1,9,6,2.3333333333333335,5,4,0.9199397837689887,0,9,2.884916683087237,1356,1211,835,836,953.5,723.5,1208.5,302,1017.6428571428571,7.078238864147673,953.5936258942746,1,1451,61,1448,1,0,1451,1,10,5,1,6,5,4,4,5,3,5,NA,NA,0.5,1,0.5,0.5,0.5,1,1,0.5,1,1,0
