row_id,sample,outcome.x,q60_1,q60_2,q60_3,q60_4,q60_5,q60_6,q60_7,q25_new,caseid_BROW0017,caseid_BROW0016,caseid_BROW0015,caseid_BROW0014,caseid_BROW0013,caseid,ideo5,dem_rep_oth,age,female,race_new,faminc_new,educ,trust_in_govt,trust_in_science,covid_subj_know,relig_scale,faminc_new.NA,faminc_new_Imp,percdist,q60_1_rank,q60_2_rank,q60_3_rank,q60_4_rank,q60_5_rank,q60_6_rank,q60_7_rank,q25_new_rank,avg_perc_rank,covmh,ps,orig_id,id.x,bm,match_id,rankperc,grp,id.y,outcome.y,q22,q59_1,outcome,q60_1a,q60_2a,q60_3a,q60_4a,q60_5a,q60_6a,q60_7a,q60_ingroup,q60_outgroup,q60_1a_rank,q60_2a_rank,q60_3a_rank,q60_4a_rank,q60_5a_rank,q60_6a_rank,q60_7a_rank,outcome_rank,q22_rank,q59_1_rank,q59_1_rank_inv
1173,1,0,2,2,3,4,4,6,5,2,1403728881,NA,NA,NA,NA,NA,3,1,28,1,1,2,3,3,3.5,3,0.8302997126043519,0,2,11.150522915400458,155.5,120.5,161.5,372,239,1339,821,843,458.35714285714283,7.120897421404961,699.0747857952487,3,1173,282,1172,0,0,1173,0,56,4,0,1,1,2,3,3,5,4,3,5,0,0,0,0,0,1,1,0,1,1,0
490,2,1,6,6,6,6,6,6,5,4,1397994173,1308368453,NA,NA,NA,NA,1,3,32,0,1,8,3,3,4.5,4,0.8282468865471464,0,8,3.6465313816717555,984.5,1211,1255,1278.5,953.5,1339,821,1263,1120.357142857143,6.353249595757174,844.2139382964959,1,490,283,490,1,1,490,1,3,3,1,5,5,5,5,5,5,4,NA,NA,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0,0.5,0.5
1372,2,1,6,6,6,6,5,5,5,6,1408298149,NA,NA,NA,NA,NA,1,3,39,0,1,9,3,3,4.5,3,0.6523881209798822,0,9,3.066190718595264,984.5,1211,1255,1278.5,475,1125.5,821,1403,1021.5,6.346927566106535,870.8944054490022,1,1372,283,1370,0,0,1372,1,10,3,1,5,5,5,5,4,4,4,NA,NA,0.5,0.5,0.5,0.5,0,0,0.5,0.5,1,0.5,0.5
492,2,1,6,6,6,6,6,4,6,2,1398318671,NA,NA,NA,NA,NA,2,1,61,0,1,6,2,2,5,4,0.9199397837689887,0,6,2.6955556417882915,984.5,1211,1255,1278.5,953.5,723.5,1208.5,843,1087.7857142857142,8.341330678775535,803.1352849158732,2,492,284,492,1,1,492,1,22,2,1,5,5,5,5,5,3,5,5,3,0,1,1,1,0.5,1,1,0.5,1,0.5,0.5
574,1,1,7,5,5,5,6,3,4,4,1398669823,NA,NA,NA,NA,NA,2,1,62,0,1,8,2,2.3333333333333335,5,4,0.9199397837689887,0,8,4.650731762082643,1356,838,835,836,953.5,328,432.5,1263,797,8.170981491258388,840.7875562443376,2,574,284,573,0,0,574,1,17,2,1,6,4,4,4,5,2,3,5,2,1,0,0,0,0.5,0,0,0.5,0,0.5,0.5
493,2,1,3,2,4,5,4,2,3,1,1398455405,NA,NA,NA,NA,NA,3,3,39,1,1,3,3,2,4,2,0.38907896537566705,0,3,10.642135460025562,272,120.5,411,836,239,138,184,302,314.35714285714283,4.044302447224976,630.808813923233,3,493,285,493,0,1,493,1,17,3,1,2,1,3,4,3,1,2,NA,NA,0,0,0,0.5,0,0,0,1,0,0.5,0.5
1377,1,0,5,4,5,5,7,4,4,4,1408199091,NA,NA,NA,NA,NA,3,3,46,1,1,3,3,2,4,3,0.12111673737511972,0,3,4.5009570337523845,658.5,483.5,835,836,1400,723.5,432.5,1263,767,3.988894221309296,691.8086617180256,3,1377,285,1375,1,0,1377,0,51,3,0,4,3,4,4,6,3,3,NA,NA,1,1,1,0.5,1,1,1,0,1,0.5,0.5
494,2,1,1,1,1,1,1,1,1,2,1398474519,NA,NA,NA,NA,NA,2,3,65,0,1,2,2,2,3.5,3,0.5344190502258107,0,2,12.30180202740861,41,31,22,19.5,25,31,29.5,843,28.428571428571427,6.4567721831738725,684.2983105826896,2,494,286,494,0,1,494,1,59,3,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0.5,1,0.5,0.5
858,1,1,6,5,6,6,6,5,6,1,1401390179,NA,NA,NA,NA,NA,3,3,65,0,1,5,2,2.6666666666666665,3,3,0,0,5,2.3498859399637215,984.5,838,1255,1278.5,953.5,1125.5,1208.5,302,1091.9285714285713,7.098949282165643,759.1562656576574,3,858,286,857,1,0,858,1,2,3,1,5,4,5,5,5,4,5,NA,NA,1,1,1,1,1,1,1,0.5,0,0.5,0.5
499,2,1,6,6,5,5,6,4,6,2,1398391871,1297956939,NA,NA,NA,NA,4,2,41,0,1,12,6,1.3333333333333333,4,3,0.2125359244560011,0,12,2.567986267543457,984.5,1211,835,836,953.5,723.5,1208.5,843,964.5714285714286,9.034857945091396,760.0476844619321,4,499,287,499,0,1,499,1,3,4,1,5,5,4,4,5,3,5,3,5,0.5,0.5,0,0,0.5,0,0.5,0.5,1,1,0
